gene_name	gene_biotype	gene_id
PRDM16	protein_coding	ENSG00000142611
PEX10	protein_coding	ENSG00000157911
PEX14	protein_coding	ENSG00000142655
PLCH2	protein_coding	ENSG00000149527
SPSB1	protein_coding	ENSG00000171621
SLC2A5	protein_coding	ENSG00000142583
NMNAT1	protein_coding	ENSG00000173614
CCDC27	protein_coding	ENSG00000162592
DISP3	protein_coding	ENSG00000204624
MMEL1	protein_coding	ENSG00000142606
TMEM51	protein_coding	ENSG00000171729
FBXO42	protein_coding	ENSG00000037637
ALDH4A1	protein_coding	ENSG00000159423
RER1	protein_coding	ENSG00000157916
PANK4	protein_coding	ENSG00000157881
VPS13D	protein_coding	ENSG00000048707
RBP7	protein_coding	ENSG00000162444
GPR157	protein_coding	ENSG00000180758
ZBTB40	protein_coding	ENSG00000184677
NPHP4	protein_coding	ENSG00000131697
HES5	protein_coding	ENSG00000197921
SZRD1	protein_coding	ENSG00000055070
PDIK1L	protein_coding	ENSG00000175087
LAPTM5	protein_coding	ENSG00000162511
SLC30A2	protein_coding	ENSG00000158014
PHACTR4	protein_coding	ENSG00000204138
CNKSR1	protein_coding	ENSG00000142675
FAM110D	protein_coding	ENSG00000197245
MED18	protein_coding	ENSG00000130772
SLC9A1	protein_coding	ENSG00000090020
LDLRAP1	protein_coding	ENSG00000157978
ATP5IF1	protein_coding	ENSG00000130770
SDC3	protein_coding	ENSG00000162512
PAFAH2	protein_coding	ENSG00000158006
DNAJC8	protein_coding	ENSG00000126698
SESN2	protein_coding	ENSG00000130766
SERINC2	protein_coding	ENSG00000168528
AJAP1	protein_coding	ENSG00000196581
PTAFR	protein_coding	ENSG00000169403
NKAIN1	protein_coding	ENSG00000084628
SNRNP40	protein_coding	ENSG00000060688
SLC25A33	protein_coding	ENSG00000171612
GJB3	protein_coding	ENSG00000188910
EYA3	protein_coding	ENSG00000158161
ZNF593	protein_coding	ENSG00000142684
FABP3	protein_coding	ENSG00000121769
EPHA2	protein_coding	ENSG00000142627
ARHGEF19	protein_coding	ENSG00000142632
KAZN	protein_coding	ENSG00000189337
TNFRSF1B	protein_coding	ENSG00000028137
UBE4B	protein_coding	ENSG00000130939
PLA2G5	protein_coding	ENSG00000127472
PTPRU	protein_coding	ENSG00000060656
ZMYM6	protein_coding	ENSG00000163867
GJB5	protein_coding	ENSG00000189280
AGO4	protein_coding	ENSG00000134698
CPLANE2	protein_coding	ENSG00000132881
ZBTB8B	protein_coding	ENSG00000273274
PAX7	protein_coding	ENSG00000009709
EXTL1	protein_coding	ENSG00000158008
CASZ1	protein_coding	ENSG00000130940
DNALI1	protein_coding	ENSG00000163879
RRAGC	protein_coding	ENSG00000116954
GRIK3	protein_coding	ENSG00000163873
PLA2G2D	protein_coding	ENSG00000117215
GUCA2B	protein_coding	ENSG00000044012
RCC2	protein_coding	ENSG00000179051
PSMB2	protein_coding	ENSG00000126067
THRAP3	protein_coding	ENSG00000054118
PADI6	protein_coding	ENSG00000276747
PADI4	protein_coding	ENSG00000159339
RHBDL2	protein_coding	ENSG00000158315
CFAP144	protein_coding	ENSG00000186973
ZMYM4	protein_coding	ENSG00000146463
C1orf216	protein_coding	ENSG00000142686
ACTL8	protein_coding	ENSG00000117148
RLF	protein_coding	ENSG00000117000
CLSPN	protein_coding	ENSG00000092853
GNL2	protein_coding	ENSG00000134697
GJA4	protein_coding	ENSG00000187513
MORN1	protein_coding	ENSG00000116151
TTC22	protein_coding	ENSG00000006555
TIE1	protein_coding	ENSG00000066056
MYCBP	protein_coding	ENSG00000214114
DLGAP3	protein_coding	ENSG00000116544
RIMS3	protein_coding	ENSG00000117016
RAB3B	protein_coding	ENSG00000169213
SMIM12	protein_coding	ENSG00000163866
CZIB	protein_coding	ENSG00000162384
FAM151A	protein_coding	ENSG00000162391
OSBPL9	protein_coding	ENSG00000117859
C1orf210	protein_coding	ENSG00000253313
PARS2	protein_coding	ENSG00000162396
ZYG11B	protein_coding	ENSG00000162378
L1TD1	protein_coding	ENSG00000240563
TXNDC12	protein_coding	ENSG00000117862
TTC4	protein_coding	ENSG00000243725
KLF17	protein_coding	ENSG00000171872
PLPP3	protein_coding	ENSG00000162407
SNIP1	protein_coding	ENSG00000163877
CPT2	protein_coding	ENSG00000157184
FOXJ3	protein_coding	ENSG00000198815
TUT4	protein_coding	ENSG00000134744
KLF18	protein_coding	ENSG00000283039
MAGOH	protein_coding	ENSG00000162385
CDKN2C	protein_coding	ENSG00000123080
C1orf87	protein_coding	ENSG00000162598
ZSWIM5	protein_coding	ENSG00000162415
OMA1	protein_coding	ENSG00000162600
SLC35D1	protein_coding	ENSG00000116704
LRP8	protein_coding	ENSG00000157193
TCEANC2	protein_coding	ENSG00000116205
KTI12	protein_coding	ENSG00000198841
LRRC42	protein_coding	ENSG00000116212
KANK4	protein_coding	ENSG00000132854
USP1	protein_coding	ENSG00000162607
AK5	protein_coding	ENSG00000154027
GIPC2	protein_coding	ENSG00000137960
